index,feel,look,name,smell,taste
675,"{'carbonation': 40, 'medium': 37, 'feel': 31}","{'red': 44, 'pink': 34, 'pours': 26}","Boon Oude Kriek Mariage Parfait","{'cherry': 131, 'nose': 53, 'tart': 53}","{'cherry': 83, 'sour': 36, 'tart': 32}"
676,"{'carbonation': 69, 'feel': 60, 'smooth': 49}","{'brown': 77, 'dark': 67, 'pours': 37}","Brasserie Des Rocs Triple Impériale","{'fruit': 108, 'dark': 107, 'nose': 100}","{'dark': 69, 'sweet': 64, 'fruit': 59}"
677,"{'cherry': 73, 'carbonation': 68, 'light': 53}","{'pink': 100, 'red': 97, 'cherry': 54}","Oud Beersel Oude Kriek Vieille","{'cherry': 265, 'sour': 127, 'tart': 99}","{'cherry': 166, 'tart': 97, 'sour': 91}"
678,"{'medium': 35, 'carbonation': 33, 'feel': 20}","{'brown': 43, 'dark': 33, 'pours': 28}","St. Amatus 12","{'dark': 66, 'fruit': 62, 'nose': 45}","{'sweet': 26, 'fruit': 25, 'dark': 23}"
679,"{'light': 58, 'carbonation': 57, 'sour': 46}","{'red': 67, 'pink': 54, 'cherry': 42}","Kriek De Ranke","{'cherry': 170, 'sour': 119, 'nose': 74}","{'cherry': 82, 'sour': 76, 'tart': 36}"
680,"{'f': 35, 'cherry': 26, 'carbonation': 20}","{'red': 34, 'deep': 25, 'pink': 20}","Intense Red Oude Kriek","{'cherry': 117, 'nose': 32, 'sour': 28}","{'cherry': 68, 'tart': 15, 'sour': 15}"
681,"{'carbonation': 13, 'medium': 10, 'light': 9}","{'white': 11, 'hazy': 9, 'golden': 6}","Oude Geuze Boon Black Label","{'funk': 15, 'apple': 10, 'yeast': 9}","{'dry': 6, 'funk': 5, 'tart': 5}"
682,"{'carbonation': 63, 'medium': 59, 'feel': 50}","{'brown': 79, 'pours': 44, 'dark': 42}","Abbaye Des Rocs [Brasserie Des Rocs Brune]","{'fruit': 93, 'nose': 87, 'sweet': 79}","{'sweet': 57, 'like': 41, 'fruit': 40}"
683,"{'funk': 7, 'tart': 5, 'rhubarb': 4}","{'golden': 4, 'white': 3, 'clear': 3}",Nath,"{'nose': 10, 'rhubarb': 6, 'funk': 6}","{'rhubarb': 8, 'tart': 3, 'cantillon': 3}"
684,"{'carbonation': 265, 'feel': 222, 'medium': 210}","{'brown': 382, 'dark': 327, 'pours': 155}","Westmalle Trappist Dubbel","{'fruit': 368, 'dark': 349, 'malt': 290}","{'sweet': 186, 'fruit': 180, 'malt': 177}"
685,"{'carbonation': 108, 'feel': 84, 'medium': 84}","{'brown': 132, 'dark': 99, 'pours': 66}",Oerbier,"{'fruit': 152, 'dark': 148, 'nose': 143}","{'dark': 79, 'fruit': 75, 'sweet': 63}"
686,"{'carbonation': 117, 'medium': 94, 'feel': 77}","{'brown': 160, 'dark': 111, 'pours': 95}",Goudenband,"{'sour': 208, 'cherry': 165, 'nose': 165}","{'sour': 132, 'cherry': 96, 'sweet': 87}"
687,"{'carbonation': 26, 'light': 25, 'dry': 19}","{'pours': 30, 'golden': 22, 'orange': 22}","Oude Lambiek De Cam","{'nose': 38, 'funky': 30, 'note': 24}","{'sour': 19, 'funk': 17, 'tart': 15}"
688,"{'feel': 29, 'medium': 28, 'carbonation': 25}","{'dark': 48, 'brown': 38, 'chocolate': 16}","Kasteel Barista Chocolate Quad Belgian Ale","{'chocolate': 101, 'coffee': 81, 'dark': 46}","{'chocolate': 79, 'coffee': 56, 'dark': 44}"
689,"{'carbonation': 354, 'light': 323, 'feel': 240}","{'golden': 343, 'white': 317, 'hazy': 275}","Saison Dupont","{'yeast': 379, 'nose': 372, 'citrus': 259}","{'yeast': 177, 'flavor': 155, 'dry': 152}"
690,"{'carbonation': 92, 'feel': 85, 'medium': 68}","{'brown': 136, 'dark': 77, 'pours': 69}","Abbaye Des Rocs Grand Cru Belgian Special Brown","{'fruit': 158, 'nose': 144, 'sweet': 143}","{'sweet': 93, 'fruit': 63, 'malt': 59}"
691,"{'carbonation': 97, 'feel': 90, 'medium': 64}","{'white': 74, 'orange': 73, 'pours': 73}","Stille Nacht","{'sweet': 143, 'fruit': 135, 'nose': 135}","{'sweet': 105, 'fruit': 64, 'like': 63}"
692,"{'carbonation': 333, 'medium': 256, 'feel': 254}","{'dark': 301, 'brown': 298, 'red': 288}","Duchesse De Bourgogne","{'sour': 547, 'vinegar': 437, 'cherry': 433}","{'sour': 420, 'sweet': 336, 'like': 258}"
693,"{'carbonation': 42, 'feel': 29, 'coffee': 29}","{'black': 48, 'pours': 24, 'brown': 24}","Black Damnation II - Mocha Bomb","{'coffee': 147, 'chocolate': 79, 'nose': 66}","{'coffee': 72, 'chocolate': 38, 'dark': 29}"
694,"{'medium': 6, 'feel': 5, 'light': 5}","{'amber': 7, 'pours': 5, 'hazy': 4}","Oude Quetsche Tilquin à L'Ancienne Avec Prunes De Namur","{'plum': 15, 'funk': 11, 'nose': 11}","{'plum': 9, 'oak': 4, 'funk': 3}"
695,"{'carbonation': 44, 'light': 43, 'medium': 32}","{'white': 45, 'golden': 44, 'pours': 39}",Mamouche,"{'floral': 76, 'nose': 73, 'like': 57}","{'floral': 29, 'flower': 25, 'like': 24}"
696,"{'carbonation': 178, 'medium': 172, 'feel': 147}","{'golden': 232, 'white': 175, 'pours': 142}","La Chouffe","{'yeast': 229, 'nose': 202, 'spice': 190}","{'sweet': 131, 'spice': 107, 'malt': 100}"
697,"{'carbonation': 176, 'feel': 142, 'medium': 119}","{'brown': 222, 'dark': 183, 'pours': 116}","Christmas Ale","{'fruit': 268, 'dark': 237, 'nose': 214}","{'fruit': 152, 'dark': 146, 'sweet': 113}"
698,"{'carbonation': 241, 'feel': 219, 'medium': 208}","{'golden': 255, 'white': 244, 'pours': 191}","Houblon Chouffe Dobbelen IPA Tripel","{'hop': 510, 'yeast': 298, 'nose': 276}","{'hop': 344, 'like': 142, 'belgian': 140}"
699,"{'carbonation': 496, 'feel': 400, 'light': 325}","{'orange': 420, 'amber': 391, 'white': 367}","Orval Trappist Ale","{'nose': 557, 'yeast': 379, 'like': 319}","{'dry': 256, 'like': 235, 'flavor': 226}"
700,"{'carbonation': 52, 'feel': 48, 'creamy': 37}","{'black': 60, 'dark': 40, 'brown': 36}","Cuvee Delphine","{'dark': 93, 'chocolate': 92, 'nose': 86}","{'chocolate': 52, 'dark': 48, 'bourbon': 35}"
701,"{'light': 9, 'feel': 9, 'carbonation': 8}","{'pours': 10, 'hazy': 7, 'red': 7}","Oude Mûre Tilquin à L'ancienne","{'blackberry': 20, 'funk': 18, 'fruit': 17}","{'funk': 12, 'blackberry': 11, 'fruit': 10}"
702,"{'carbonation': 15, 'cherry': 10, 'medium': 8}","{'red': 25, 'pours': 19, 'ruby': 14}","Oude Kriek De Cam","{'cherry': 42, 'nose': 18, 'funk': 14}","{'cherry': 17, 'sour': 16, 'tart': 11}"
703,"{'carbonation': 286, 'medium': 215, 'feel': 193}","{'white': 262, 'golden': 260, 'pours': 218}",Tripel,"{'yeast': 323, 'nose': 276, 'sweet': 232}","{'sweet': 224, 'yeast': 141, 'malt': 133}"
704,"{'carbonation': 13, 'medium': 10, 'feel': 8}","{'dark': 10, 'brown': 9, 'pours': 7}","Straffe Hendrik Heritage","{'oak': 22, 'dark': 18, 'fruit': 17}","{'oak': 11, 'raisin': 9, 'vanilla': 6}"
705,"{'fruit': 5, 'carbonation': 5, 'bottle': 5}","{'bottle': 6, 'fruit': 5, 'sour': 5}","Lambiek Special","{'sour': 11, 'cherry': 11, 'nose': 10}","{'berry': 4, 'sour': 4, 'cherry': 3}"
706,"{'light': 105, 'carbonation': 100, 'medium': 72}","{'white': 103, 'golden': 99, 'hazy': 83}","Trappist Westvleteren Blond","{'nose': 142, 'yeast': 131, 'light': 80}","{'hop': 61, 'yeast': 45, 'like': 42}"
707,"{'carbonation': 27, 'light': 21, 'medium': 16}","{'golden': 19, 'pours': 16, 'orange': 14}","Oude Geuze De Cam","{'nose': 25, 'funk': 24, 'sour': 21}","{'sour': 15, 'lemon': 12, 'flavor': 11}"
708,"{'cherry': 5, 'light': 3, 'soft': 3}","{'pink': 5, 'red': 3, 'retention': 2}","Cuvee Moeder (Kriek)","{'cherry': 21, 'nose': 8, 'sour': 4}","{'cherry': 6, 'sour': 3, 'like': 3}"
709,"{'carbonation': 271, 'feel': 223, 'medium': 197}","{'dark': 367, 'brown': 327, 'pours': 174}","Gulden Draak","{'fruit': 402, 'sweet': 382, 'dark': 370}","{'sweet': 318, 'alcohol': 225, 'fruit': 216}"
710,"{'grape': 4, 'light': 4, 'feel': 2}","{'red': 4, 'clear': 2, 'white': 2}","Lambic D'Aunis","{'grape': 5, 'funk': 3, 'fruity': 2}","{'harmony': 2, 'texture': 2, 'bright': 1}"
711,"{'carbonation': 157, 'feel': 130, 'smooth': 118}","{'black': 264, 'dark': 172, 'brown': 123}","Black Albert","{'dark': 413, 'chocolate': 359, 'nose': 290}","{'chocolate': 226, 'dark': 220, 'coffee': 138}"
712,"{'light': 25, 'carbonation': 18, 'feel': 15}","{'white': 19, 'hazy': 13, 'yellow': 13}","Gueuze Tilquin (Draught Version)","{'nose': 33, 'lemon': 29, 'funk': 27}","{'tart': 15, 'sour': 12, 'lemon': 10}"
713,"{'carbonation': 52, 'medium': 36, 'full': 30}","{'brown': 69, 'dark': 50, 'pours': 34}","Achel Trappist Extra","{'dark': 83, 'fruit': 76, 'sweet': 65}","{'sweet': 43, 'fruit': 39, 'dark': 37}"
714,"{'carbonation': 109, 'feel': 85, 'light': 85}","{'golden': 110, 'white': 100, 'pours': 93}","Oude Gueuze","{'nose': 130, 'sour': 129, 'funk': 109}","{'sour': 139, 'tart': 90, 'like': 68}"
715,"{'carbonation': 576, 'feel': 518, 'light': 404}","{'golden': 731, 'white': 532, 'look': 422}","Duvel Belgian Golden Ale","{'yeast': 661, 'nose': 505, 'sweet': 404}","{'sweet': 338, 'like': 337, 'alcohol': 310}"
716,"{'carbonation': 291, 'feel': 242, 'medium': 193}","{'golden': 330, 'white': 283, 'pours': 173}","Tripel Karmeliet","{'nose': 308, 'sweet': 261, 'yeast': 258}","{'sweet': 234, 'alcohol': 127, 'spice': 119}"
717,"{'feel': 19, 'medium': 12, 'carbonation': 10}","{'brown': 14, 'dark': 11, 'look': 8}","Abt 12 Oak Aged","{'oak': 23, 'nose': 21, 'dark': 19}","{'oak': 14, 'note': 10, 'apple': 9}"
718,"{'light': 5, 'carbonation': 5, 'dry': 5}","{'orange': 4, 'white': 4, 'golden': 4}","Soleil De Minuit","{'nose': 9, 'fruit': 8, 'cloudberry': 6}","{'sour': 6, 'it': 3, 'tasting': 2}"
719,"{'carbonation': 59, 'medium': 56, 'feel': 47}","{'brown': 68, 'dark': 64, 'pours': 36}","Pannepot Grand Reserva","{'dark': 98, 'fruit': 97, 'nose': 78}","{'dark': 39, 'fruit': 38, 'oak': 32}"
720,"{'carbonation': 94, 'medium': 92, 'feel': 87}","{'brown': 123, 'dark': 94, 'pours': 65}","Pannepot Reserva","{'dark': 170, 'fruit': 153, 'nose': 130}","{'dark': 76, 'fruit': 68, 'flavor': 47}"
721,"{'carbonation': 114, 'light': 111, 'dry': 96}","{'pours': 102, 'orange': 100, 'golden': 98}","Girardin Gueuze 1882 (Black Label)","{'sour': 183, 'nose': 145, 'funk': 139}","{'sour': 168, 'tart': 81, 'lemon': 74}"
722,"{'carbonation': 83, 'medium': 67, 'light': 64}","{'red': 113, 'pink': 79, 'pours': 68}","Oude Kriek","{'cherry': 280, 'tart': 114, 'sour': 108}","{'cherry': 155, 'sour': 106, 'tart': 68}"
723,"{'light': 20, 'carbonation': 15, 'rhubarb': 12}","{'white': 21, 'golden': 16, 'hazy': 15}","Lambic Rhubarbe","{'rhubarb': 42, 'nose': 30, 'sour': 21}","{'rhubarb': 38, 'sour': 20, 'tart': 13}"
724,"{'carbonation': 171, 'medium': 149, 'light': 147}","{'white': 175, 'golden': 161, 'pours': 156}","Fantôme Saison","{'nose': 251, 'lemon': 138, 'funk': 133}","{'like': 112, 'sour': 91, 'flavor': 88}"
725,"{'carbonation': 259, 'medium': 225, 'sour': 181}","{'brown': 264, 'dark': 213, 'red': 205}","Rodenbach Grand Cru","{'sour': 500, 'cherry': 453, 'vinegar': 301}","{'sour': 385, 'cherry': 273, 'tart': 219}"
726,"{'carbonation': 379, 'feel': 348, 'medium': 255}","{'golden': 407, 'white': 354, 'pours': 277}","Westmalle Trappist Tripel","{'nose': 407, 'yeast': 368, 'fruit': 301}","{'alcohol': 280, 'sweet': 238, 'flavor': 175}"
727,"{'carbonation': 510, 'feel': 400, 'medium': 331}","{'brown': 724, 'dark': 620, 'pours': 303}","Grande Réserve (Blue)","{'fruit': 723, 'dark': 658, 'sweet': 466}","{'fruit': 417, 'dark': 411, 'sweet': 369}"
728,"{'medium': 21, 'carbonation': 19, 'feel': 18}","{'golden': 23, 'white': 22, 'hazy': 12}","Tripel Van De Garre","{'nose': 25, 'yeast': 22, 'malt': 16}","{'sweet': 15, 'malt': 10, 'alcohol': 9}"
729,"{'carbonation': 195, 'feel': 166, 'medium': 136}","{'brown': 237, 'dark': 219, 'pours': 126}","Cuvée Van De Keizer Blauw (Blue)","{'dark': 302, 'fruit': 286, 'nose': 262}","{'sweet': 213, 'dark': 156, 'fruit': 143}"
730,"{'carbonation': 158, 'light': 151, 'feel': 121}","{'pink': 200, 'red': 199, 'pours': 147}","Rosé De Gambrinus","{'raspberry': 437, 'nose': 233, 'tart': 194}","{'raspberry': 246, 'sour': 189, 'tart': 158}"
731,"{'carbonation': 86, 'light': 67, 'medium': 62}","{'white': 90, 'pours': 66, 'golden': 64}","Oude Gueuze Tilquin à L'Ancienne","{'nose': 121, 'funk': 118, 'sour': 103}","{'sour': 76, 'tart': 70, 'lemon': 54}"
732,"{'carbonation': 191, 'feel': 141, 'full': 117}","{'brown': 256, 'dark': 237, 'pours': 134}",Pannepot,"{'dark': 345, 'fruit': 294, 'nose': 247}","{'dark': 154, 'fruit': 125, 'sweet': 116}"
733,"{'carbonation': 62, 'medium': 47, 'light': 44}","{'white': 62, 'pours': 56, 'golden': 55}","Cuvée Saint-Gilloise","{'nose': 102, 'funk': 80, 'lemon': 66}","{'sour': 48, 'tart': 44, 'lemon': 36}"
734,"{'carbonation': 408, 'feel': 339, 'medium': 322}","{'brown': 606, 'dark': 411, 'pours': 249}","Trappistes Rochefort 8","{'fruit': 546, 'dark': 507, 'nose': 411}","{'fruit': 332, 'dark': 302, 'alcohol': 290}"
735,"{'sour': 112, 'carbonation': 106, 'medium': 91}","{'red': 135, 'dark': 94, 'pours': 67}","Cuvée Des Jacobins Rouge","{'cherry': 250, 'sour': 216, 'nose': 149}","{'sour': 187, 'cherry': 135, 'tart': 99}"
736,"{'carbonation': 27, 'light': 20, 'medium': 19}","{'white': 25, 'golden': 23, 'pours': 20}","50 Degrees North-4 Degrees East","{'nose': 44, 'cognac': 35, 'funk': 27}","{'cognac': 24, 'tart': 15, 'sour': 14}"
737,"{'carbonation': 90, 'light': 81, 'feel': 64}","{'orange': 115, 'white': 100, 'pours': 92}",Iris,"{'sour': 156, 'nose': 137, 'tart': 109}","{'sour': 111, 'tart': 74, 'like': 59}"
738,"{'carbonation': 21, 'dry': 15, 'light': 15}","{'pink': 18, 'pours': 13, 'red': 13}","Pinot D'Aunis","{'grape': 37, 'nose': 34, 'funk': 22}","{'grape': 23, 'tasting': 13, 'tart': 11}"
739,"{'carbonation': 169, 'light': 138, 'sour': 121}","{'red': 226, 'pink': 166, 'pours': 125}","Kriek 100% Lambic","{'cherry': 498, 'sour': 255, 'tart': 215}","{'cherry': 306, 'sour': 261, 'tart': 168}"
740,"{'carbonation': 23, 'feel': 22, 'light': 18}","{'pours': 33, 'orange': 29, 'plum': 24}","Oude Quetsche Tilquin à L'Ancienne","{'plum': 73, 'nose': 59, 'fruit': 40}","{'plum': 33, 'sour': 22, 'fruit': 16}"
741,"{'carbonation': 8, 'bodied': 7, 'medium': 7}","{'orange': 10, 'pours': 8, 'white': 8}","Oude (Gueuze Tilquin)²","{'nose': 17, 'oak': 14, 'funk': 13}","{'funk': 8, 'tasting': 7, 'old': 5}"
742,"{'medium': 41, 'cherry': 38, 'feel': 34}","{'red': 50, 'pours': 37, 'white': 30}","Rodenbach Alexander","{'cherry': 160, 'nose': 64, 'sweet': 56}","{'cherry': 106, 'sour': 50, 'sweet': 49}"
743,"{'carbonation': 175, 'light': 136, 'medium': 131}","{'white': 159, 'golden': 152, 'pours': 132}","Oude Geuze","{'nose': 236, 'sour': 216, 'funk': 195}","{'sour': 216, 'lemon': 113, 'tart': 101}"
744,"{'thick': 27, 'feel': 24, 'full': 23}","{'black': 36, 'dark': 21, 'thick': 17}","Black Damnation V - Double Black","{'dark': 47, 'chocolate': 42, 'nose': 41}","{'chocolate': 26, 'tasting': 23, 'dark': 20}"
745,"{'carbonation': 66, 'light': 55, 'medium': 52}","{'white': 79, 'pours': 71, 'golden': 65}",Vigneronne,"{'grape': 115, 'nose': 96, 'sour': 76}","{'grape': 83, 'sour': 75, 'white': 58}"
746,"{'carbonation': 46, 'medium': 44, 'dry': 32}","{'red': 49, 'pours': 34, 'ruby': 26}","Rodenbach Caractère Rouge","{'cherry': 107, 'nose': 83, 'raspberry': 81}","{'cherry': 52, 'cranberry': 47, 'raspberry': 42}"
747,"{'carbonation': 66, 'light': 51, 'cherry': 45}","{'red': 88, 'pink': 65, 'pours': 53}","Schaerbeekse Kriek","{'cherry': 191, 'tart': 90, 'sour': 89}","{'cherry': 114, 'sour': 73, 'tart': 62}"
748,"{'carbonation': 204, 'light': 178, 'sour': 164}","{'golden': 226, 'white': 189, 'pours': 169}","Gueuze 100% Lambic","{'sour': 265, 'nose': 247, 'funk': 204}","{'sour': 267, 'tart': 145, 'lemon': 114}"
749,"{'carbonation': 179, 'smooth': 143, 'medium': 139}","{'brown': 259, 'dark': 212, 'pours': 127}","Trappist Westvleteren 8 (VIII)","{'fruit': 268, 'dark': 255, 'nose': 249}","{'fruit': 121, 'dark': 108, 'sweet': 92}"
750,"{'f': 35, 'carbonation': 14, 'feel': 14}","{'white': 23, 'look': 12, 'golden': 12}","Oude Geuze Cuvée Armand & Gaston","{'nose': 25, 'funk': 22, 'lemon': 18}","{'tart': 16, 'lemon': 13, 'funk': 9}"
751,"{'f': 38, 'carbonation': 37, 'medium': 32}","{'golden': 54, 'pours': 39, 'white': 38}","Oude Geuze Golden Blend","{'funk': 72, 'nose': 50, 'sour': 48}","{'sour': 37, 'lemon': 25, 'funk': 22}"
752,"{'carbonation': 588, 'feel': 542, 'smooth': 373}","{'brown': 858, 'dark': 711, 'pours': 350}","Abt 12","{'fruit': 908, 'dark': 772, 'sweet': 617}","{'fruit': 502, 'sweet': 445, 'dark': 430}"
753,"{'carbonation': 44, 'light': 43, 'feel': 39}","{'white': 44, 'golden': 40, 'pours': 34}","Lou Pepe - Gueuze","{'nose': 69, 'funk': 67, 'lemon': 55}","{'sour': 44, 'funk': 35, 'lemon': 24}"
754,"{'medium': 38, 'carbonation': 38, 'raspberry': 28}","{'red': 54, 'pours': 34, 'pink': 32}",Hommage,"{'raspberry': 125, 'nose': 83, 'cherry': 65}","{'raspberry': 69, 'sour': 46, 'cherry': 38}"
755,"{'carbonation': 33, 'f': 27, 'light': 24}","{'red': 27, 'pours': 24, 'look': 18}",Framboos,"{'raspberry': 100, 'nose': 60, 'funk': 29}","{'raspberry': 58, 'tart': 27, 'sour': 22}"
756,"{'carbonation': 58, 'feel': 44, 'medium': 39}","{'purple': 91, 'pours': 52, 'pink': 43}","Blåbær Lambik","{'blueberry': 166, 'nose': 93, 'funk': 74}","{'blueberry': 93, 'tart': 46, 'sour': 44}"
757,"{'feel': 574, 'carbonation': 568, 'smooth': 437}","{'brown': 891, 'dark': 824, 'pours': 354}","Trappistes Rochefort 10","{'fruit': 965, 'dark': 921, 'nose': 677}","{'alcohol': 557, 'dark': 527, 'fruit': 523}"
758,"{'carbonation': 107, 'light': 88, 'feel': 80}","{'red': 128, 'pours': 94, 'pink': 72}","Saint Lamvinus","{'grape': 218, 'nose': 164, 'funk': 143}","{'grape': 148, 'sour': 107, 'tart': 72}"
759,"{'f': 44, 'carbonation': 38, 'light': 33}","{'white': 35, 'pours': 31, 'orange': 27}","Oude Geuze Vintage","{'nose': 60, 'funk': 55, 'lemon': 29}","{'sour': 31, 'funk': 24, 'tart': 23}"
760,"{'carbonation': 70, 'light': 61, 'raspberry': 55}","{'pink': 78, 'red': 68, 'pours': 50}","Lou Pepe - Framboise","{'raspberry': 212, 'nose': 111, 'funk': 80}","{'raspberry': 109, 'sour': 59, 'tart': 55}"
761,"{'carbonation': 88, 'light': 75, 'cherry': 70}","{'red': 91, 'pink': 79, 'pours': 57}","Lou Pepe - Kriek","{'cherry': 274, 'nose': 120, 'sour': 110}","{'cherry': 154, 'sour': 87, 'tart': 55}"
762,"{'feel': 361, 'carbonation': 358, 'smooth': 259}","{'brown': 574, 'dark': 451, 'pours': 248}","Trappist Westvleteren 12 (XII)","{'fruit': 572, 'dark': 547, 'nose': 468}","{'fruit': 295, 'sweet': 260, 'dark': 256}"
763,"{'f': 22, 'sherry': 8, 'feel': 7}","{'white': 6, 'golden': 5, 'orange': 5}","Zenne Y Frontera","{'sherry': 21, 'funk': 16, 'nose': 15}","{'funk': 10, 'sherry': 8, 'tasting': 8}"
764,"{'carbonation': 116, 'light': 99, 'medium': 81}","{'white': 123, 'orange': 107, 'hazy': 104}","Fou' Foune","{'apricot': 328, 'nose': 204, 'funk': 150}","{'apricot': 188, 'sour': 131, 'tart': 74}"
765,"{'medium': 21, 'feel': 19, 'light': 16}","{'black': 12, 'look': 12, 'brown': 10}","Stranger Than Fiction","{'chocolate': 37, 'coffee': 31, 'dark': 25}","{'chocolate': 24, 'malt': 16, 'dark': 14}"
766,"{'medium': 3, 'ipa': 3, 'feel': 3}","{'golden': 3, 'cloudy': 2, 'dark': 2}","Four Winds IPA","{'citrus': 7, 'pine': 7, 'grapefruit': 6}","{'citrus': 4, 'citrusy': 2, 'note': 2}"
767,"{'carbonation': 11, 'medium': 10, 'body': 5}","{'clear': 4, 'white': 4, 'golden': 3}","Shipwreck IPA","{'grapefruit': 13, 'hop': 13, 'nose': 12}","{'malt': 9, 'hop': 8, 'grapefruit': 8}"
768,"{'moderate': 2, 'carbonation': 2, 'medium': 2}","{'amber': 2, 'good': 2, 'pours': 1}",Phaedra,"{'tropical': 6, 'nose': 4, 'note': 4}","{'yeast': 5, 'malt': 3, 'tropical': 3}"
769,"{'medium': 8, 'carbonation': 8, 'orange': 7}","{'hazy': 8, 'white': 8, 'gold': 5}","Radio The Mothership","{'fruit': 15, 'nose': 14, 'citrus': 12}","{'malt': 12, 'hop': 10, 'tropical': 7}"
770,"{'hop': 13, 'feel': 12, 'taste': 11}","{'look': 8, 'copper': 8, 'nice': 6}","Full Moon Pale Ale","{'hop': 33, 'citrus': 21, 'malt': 19}","{'hop': 21, 'malt': 12, 'bitter': 10}"
771,"{'medium': 8, 'carbonation': 6, 'feel': 5}","{'cloudy': 4, 'yellow': 4, 'hazy': 3}","Collective Project: IPA No. 8","{'grapefruit': 9, 'nose': 8, 'tropical': 8}","{'fruit': 9, 'tropical': 7, 'hop': 5}"
772,"{'medium': 19, 'carbonation': 19, 'finish': 10}","{'hazy': 10, 'golden': 8, 'orange': 6}","La Buteuse","{'yeast': 22, 'spice': 19, 'nose': 15}","{'yeast': 13, 'malt': 11, 'spice': 10}"
773,"{'great': 2, 'feel': 2, 'took': 2}","{'retention': 2, 'lacing': 2, 'look': 1}","Sovereign Super Saison","{'note': 3, 'dry': 3, 'floral': 2}","{'bread': 2, 'dry': 2, 'perfumed': 1}"
774,"{'medium': 11, 'carbonation': 11, 'feel': 11}","{'golden': 7, 'like': 7, 'look': 5}","Dernière Volonté Réserve Spéciale En Fût De Pinot Noir","{'yeast': 10, 'oak': 10, 'light': 10}","{'wine': 8, 'bit': 7, 'note': 7}"
775,"{'hop': 15, 'rye': 14, 'medium': 14}","{'copper': 11, 'white': 8, 'lacing': 8}","RPA (Rye Pale Ale)","{'rye': 26, 'hop': 22, 'grapefruit': 21}","{'rye': 19, 'hop': 17, 'malt': 13}"
776,"{'medium': 10, 'feel': 8, 'finish': 7}","{'hazy': 7, 'white': 6, 'golden': 4}","Surround Sound (Simcoe, Galaxy & Citra)","{'fruit': 10, 'nose': 9, 'grapefruit': 7}","{'hop': 5, 'fruit': 5, 'grapefruit': 5}"
777,"{'medium': 88, 'carbonation': 88, 'feel': 55}","{'white': 65, 'golden': 61, 'pours': 53}","Dernière Volonté","{'yeast': 94, 'nose': 90, 'hop': 79}","{'hop': 49, 'belgian': 35, 'yeast': 35}"
778,"{'carbonation': 15, 'medium': 12, 'smooth': 9}","{'brown': 10, 'dark': 9, 'black': 8}","Blackstone Porter","{'chocolate': 23, 'malt': 22, 'coffee': 18}","{'malt': 16, 'coffee': 16, 'chocolate': 15}"
779,"{'feel': 7, 'carbonation': 7, 'medium': 4}","{'hazy': 6, 'pours': 5, 'orange': 5}",Immodest,"{'nose': 11, 'grapefruit': 11, 'citrus': 9}","{'caramel': 6, 'malt': 5, 'sweet': 4}"
780,"{'carbonation': 4, 'coconut': 4, 'vanilla': 3}","{'black': 4, 'pitch': 2, 'foam': 2}","Collective Arts / Donut Monster - Origin of Darkness","{'coconut': 6, 'vanilla': 5, 'bourbon': 5}","{'coconut': 5, 'bourbon': 4, 'vanilla': 4}"
781,"{'hop': 5, 'full': 4, 'bitterness': 4}","{'good': 4, 'like': 3, 'amber': 2}","Twenty Pounder","{'hop': 12, 'citrus': 10, 'malt': 7}","{'good': 8, 'citrus': 7, 'hop': 5}"
782,"{'light': 40, 'carbonation': 40, 'feel': 39}","{'golden': 37, 'white': 37, 'pours': 34}","Eau Benite","{'yeast': 55, 'nose': 50, 'fruit': 47}","{'like': 26, 'banana': 25, 'clove': 25}"
783,"{'feel': 15, 'carbonation': 14, 'full': 10}","{'look': 12, 'brown': 11, 'pours': 8}","Olde Deuteronomy","{'caramel': 30, 'fruit': 20, 'malt': 17}","{'dark': 12, 'fruit': 11, 'alcohol': 11}"
784,"{'medium': 7, 'dry': 6, 'carbonation': 6}","{'dark': 5, 'black': 4, 'white': 2}","Back Hand Of God Stout","{'coffee': 9, 'chocolate': 9, 'malt': 8}","{'coffee': 9, 'chocolate': 9, 'malt': 7}"
785,"{'carbonation': 16, 'medium': 12, 'feel': 11}","{'l': 24, 'black': 23, 'brown': 18}","Pothole Filler Imperial Stout","{'chocolate': 34, 'malt': 32, 'roasted': 23}","{'chocolate': 24, 'malt': 17, 'molasses': 16}"
786,"{'carbonation': 6, 'medium': 4, 'light': 4}","{'hazy': 5, 'orange': 3, 'look': 3}","Aromatherapy IPA","{'citrus': 7, 'fruit': 6, 'tropical': 5}","{'bitter': 5, 'hop': 4, 'tropical': 4}"
787,"{'medium': 4, 'carbonation': 4, 'f': 3}","{'amber': 8, 'white': 6, 'clear': 5}","Play Dead IPA","{'tropical': 10, 'nose': 9, 'pine': 9}","{'malt': 6, 'hop': 5, 'citrus': 5}"
788,"{'juicy': 3, 'hop': 2, 'orange': 2}","{'hazy': 3, 'white': 2, 'standout': 1}","Laser Show","{'hop': 7, 'grapefruit': 6, 'nose': 4}","{'light': 3, 'fruit': 3, 'hop': 3}"
789,"{'carbonation': 9, 'feel': 7, 'medium': 7}","{'one': 7, 'dark': 6, 'black': 5}","Barrel Full Of Monkeys Imperial Stout","{'chocolate': 12, 'coffee': 11, 'bourbon': 8}","{'chocolate': 10, 'bourbon': 8, 'one': 7}"
